total: 166
dlg_20730012                        | forage=True  | group=Grundfutter/Saftfutter         | me= 9.30 | st=   25 | ndf=  563 | Roggen, Pressschlempe aus der Bioethanolgewinnung
dlg_20740012                        | forage=True  | group=Grundfutter/Saftfutter         | me=12.10 | st=    0 | ndf=  244 | Zuckerr├╝be, R├╝benkleinteile
dlg_20750012                        | forage=True  | group=Grundfutter/Saftfutter         | me=13.30 | st=    0 | ndf=  425 | Zuckerr├╝be, R├╝benpressschnitzel
dlg_20760010                        | forage=True  | group=Grundfutter/Saftfutter         | me=11.80 | st=    0 | ndf=  150 | Zuckerr├╝be
dlg_30770030                        | forage=False | group=Kraftfutter/Trocken            | me=13.80 | st=  443 | ndf=  133 | Ackerbohne, Samen nativ
dlg_30780030                        | forage=False | group=Kraftfutter/Trocken            | me= 8.50 | st=  147 | ndf=  569 | Ackerbohne, Samenschalen
dlg_30790030                        | forage=False | group=Kraftfutter/Trocken            | me=13.50 | st=  491 | ndf=  158 | Erbsen, Samen nativ
dlg_30800030                        | forage=False | group=Kraftfutter/Trocken            | me=14.40 | st=    0 | ndf=    6 | Erbsen, Samenproteinkonzentrat
dlg_30810030                        | forage=False | group=Kraftfutter/Trocken            | me= 9.90 | st=  106 | ndf=  745 | Erbsen, Samenschalen
dlg_30820030                        | forage=False | group=Kraftfutter/Trocken            | me=13.40 | st=  506 | ndf=  243 | Gerste, Samen
dlg_30830030                        | forage=False | group=Kraftfutter/Trocken            | me=12.80 | st=   35 | ndf=  441 | Getreide, Samen, Trockenschlempe aus Bioethanolgewinnung
dlg_30840030                        | forage=False | group=Kraftfutter/Trocken            | me=12.00 | st=  453 | ndf=  274 | Hafer, Samen
dlg_30850030                        | forage=False | group=Kraftfutter/Trocken            | me= 9.50 | st=  104 | ndf=  560 | Hafer, Samen, Hafersch├ñlkleie
dlg_30860030                        | forage=False | group=Kraftfutter/Trocken            | me=14.00 | st=    0 | ndf=   65 | Kartoffeleiwei├ƒ
dlg_30870030                        | forage=False | group=Kraftfutter/Trocken            | me=12.50 | st=    0 | ndf=  520 | Kokospalme, Nuss, Fruchtfleischexpeller
dlg_30880030                        | forage=False | group=Kraftfutter/Trocken            | me=13.20 | st=  711 | ndf=  115 | Mais, Korn
dlg_30890030                        | forage=False | group=Kraftfutter/Trocken            | me=14.10 | st=    0 | ndf=  260 | Lein, Samen nativ
