TABLE_NAME,COLUMN_NAME
AIRBUSEINSPERS,LFDLEISTNR
AIRBUSEINSPERS,EINSORTNR
AIRBUSEINSPERS,EINSPERSNR
AIRBUSEINSPERS,EINSPERSN2
AIRBUSEINSPERS,IEQUALPAY
AIRBUSEINSPERS,CEINSATZBEREICH
AIRBUSEINSPERS,TRFIELD
AIRBUSEINSPERS,REPL_ID
AIRBUSEINSPERS,REPL_DATABASE
AIRBUSL1LOHNARTMATCHING,ID
AIRBUSL1LOHNARTMATCHING,DBID
AIRBUSL1LOHNARTMATCHING,CAIRBUSLOHNART
AIRBUSL1LOHNARTMATCHING,IL1LOHNART
AIRBUSL1LOHNARTMATCHING,CAIRBUSLOHNARTTEXT
AIRBUSL1LOHNARTMATCHING,TRFIELD
AIRBUSL1LOHNARTMATCHING,REPL_ID
AIRBUSL1LOHNARTMATCHING,REPL_DATABASE
AIRBUSL1LOHNARTMATCHING,IL1LOHNARTNACHBERECHNUNG
AIRBUSLEISTUNGSNACHWEISE,ID
AIRBUSLEISTUNGSNACHWEISE,DBID
AIRBUSLEISTUNGSNACHWEISE,TRFIELD
AIRBUSLEISTUNGSNACHWEISE,REPL_ID
AIRBUSLEISTUNGSNACHWEISE,REPL_DATABASE
AIRBUSLEISTUNGSNACHWEISE,IPERSONALNR
AIRBUSLEISTUNGSNACHWEISE,IJAHR
AIRBUSLEISTUNGSNACHWEISE,IMONAT
AIRBUSLEISTUNGSNACHWEISE,CTRANSPONDER
AIRBUSLEISTUNGSNACHWEISE,CEINSATZBEREICH
AIRBUSLEISTUNGSNACHWEISE,IVERARBEITET
AIRBUSLEISTUNGSNACHWEISE,SUMLOHN
AIRBUSLEISTUNGSNACHWEISE,SUMFAKTUR
AIRBUSLEISTUNGSNACHWEISE,CLOHNARTLOHN
AIRBUSLEISTUNGSNACHWEISE,CLOHNARTLOHNBEZ
AIRBUSLEISTUNGSNACHWEISE,DANZAHLSTD
AIRBUSLEISTUNGSNACHWEISE,DPREISSTD
AIRBUSLEISTUNGSNACHWEISE,CLOHNARTFAKTUR
AIRBUSLEISTUNGSNACHWEISE,DZUSCHLAGSSATZ
AIRBUSLOHNARTEN,ID
AIRBUSLOHNARTEN,DBID
AIRBUSLOHNARTEN,IPERSONALNR
AIRBUSLOHNARTEN,DTDATUM
AIRBUSLOHNARTEN,CTRANSPONDER
AIRBUSLOHNARTEN,CLOHNART
AIRBUSLOHNARTEN,DRAHMENZEIT
AIRBUSLOHNARTEN,DTEINLESEDATUM
AIRBUSLOHNARTEN,TRFIELD
AIRBUSLOHNARTEN,REPL_ID
AIRBUSLOHNARTEN,REPL_DATABASE
AKKPRODUKTE,ID
AKKPRODUKTE,DBID
AKKPRODUKTE,PRODUKTID
AKKPRODUKTE,BEZEICHNUNG1
AKKPRODUKTE,BEZEICHNUNG2
AKKPRODUKTE,TRFIELD
AKKPRODUKTE,REPL_ID
AKKPRODUKTE,REPL_DATABASE
AKKPRODUKTEPREIS,ID
AKKPRODUKTEPREIS,DBID
AKKPRODUKTEPREIS,ID_AKKPRODUKTE
AKKPRODUKTEPREIS,DBID_AKKPRODUKTE
AKKPRODUKTEPREIS,PREIS
AKKPRODUKTEPREIS,TRFIELD
AKKPRODUKTEPREIS,REPL_ID
AKKPRODUKTEPREIS,REPL_DATABASE
AKKPRODUKTEPREIS,DATUMAB
AKTION,ID
AKTION,DBID
AKTION,BESCHREIBUNG
AKTION,ZEIT
AKTION,DATUM
AKTION,PRIO
AKTION,TRFIELD
AKTION,REPL_ID
AKTION,REPL_DATABASE
