feed_id,feed_name,source_set,sidp_g_kgdm,ca_g_kgdm,p_g_kgdm,na_g_kgdm,price_eur_kgdm,group,min_kgdm,max_kgdm,notes,source_sidp,source_minerals,source_group,source_price,source_limits
rapsextraktionsschrot_unbehandelt,Rapsextraktionsschrot unbehandelt,DLG_2025,146,8.7,11.9,0.5,,Konzentratfutter - Trockenkonzentrat,,,,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,,
rapsextraktionsschrot_unbehandelt_hoch_pansenstabil,"Rapsextraktionsschrot unbehandelt, hoch pansenstabil",DLG_2025,165,8.7,11.9,0.5,,Konzentratfutter - Trockenkonzentrat,,,,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,,
rapsextraktionsschrot_unbehandelt_mittel_pansenstabil,"Rapsextraktionsschrot unbehandelt, mittel pansenstabil",DLG_2025,145,8.7,11.9,0.5,,Konzentratfutter - Trockenkonzentrat,,,,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,,
rapsextraktionsschrot_unbehandelt_wenig_pansenstabil,"Rapsextraktionsschrot unbehandelt, wenig pansenstabil",DLG_2025,128,8.7,11.9,0.5,,Konzentratfutter - Trockenkonzentrat,,,,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,,
rapsextraktionsschrot_gezielt_therm_behandelt,"Rapsextraktionsschrot, gezielt therm. behandelt",DLG_2025,152,8.7,11.9,0.5,,Konzentratfutter - Trockenkonzentrat,,,,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,,
rapsextraktionsschrot_gezielt_therm_behandelt_hoch_pansenstabil,"Rapsextraktionsschrot, gezielt therm. behandelt, hoch pansenstabil",DLG_2025,177,8.7,11.9,0.5,,Konzentratfutter - Trockenkonzentrat,,,,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,,
rapsextraktionsschrot_gezielt_therm_behandelt_wenig_pansenstabil,"Rapsextraktionsschrot, gezielt therm. behandelt, wenig pansenstabil",DLG_2025,133,8.7,11.9,0.5,,Konzentratfutter - Trockenkonzentrat,,,,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,,
rapskuchen,Rapskuchen,DLG_2025,114,8.2,11.9,0.5,,Konzentratfutter - Trockenkonzentrat,,,,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,,
roggen,Roggen,DLG_2025,92,0.6,3.1,0.2,,Konzentratfutter - Trockenkonzentrat,,,,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,,
roggenkleie,Roggenkleie,DLG_2025,87,1.7,9.5,0.2,,Konzentratfutter - Trockenkonzentrat,,,,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,,
